country_a,country_b,total_trade_usd,mutual_benefit_pct,gdp_loss_pct_a,gdp_loss_pct_b
Iraq,Italy,8,3.0161183565892304e-10,1.9139316970365978e-11,2.6683990597609704e-12
Croatia,Saudi Arabia,4,3.007392073234457e-10,2.1043906244537193e-11,2.9488875223525585e-12
Belgium,Germany,16,3.0049806511691206e-10,7.59718546640584e-12,2.1367493326748263e-12
Australia,Canada,12,3.0049231621756177e-10,7.237314835024065e-12,4.1072619529941114e-12
Croatia,India,12,2.9960958289531837e-10,6.313171873361157e-11,3.432809157143505e-12
India,Sri Lanka,12,2.991288355688432e-10,3.432809157143505e-12,1.4300042438452042e-10
Spain,UK,16,2.9814145138527256e-10,6.605143878287856e-12,3.517989877587621e-12
Australia,UK,16,2.9651442679594415e-10,9.64975311336542e-12,3.517989877587621e-12
Israel,Russia,8,2.947444419272953e-10,1.3593990103464339e-11,4.657430651239747e-12
Croatia,Japan,12,2.913514508937167e-10,6.313171873361157e-11,3.3005667754074625e-12
Iran,Italy,8,2.8472984453392316e-10,1.8415568693031085e-11,2.6683990597609704e-12
Bangladesh,Italy,8,2.8339711226045504e-10,3.318584351347672e-11,2.6683990597609704e-12
Australia,India,16,2.8244201960327416e-10,9.64975311336542e-12,4.5770788761913395e-12
Sweden,UK,12,2.8209063140255723e-10,9.382762429371587e-12,2.638492408190716e-12
Canada,Sweden,8,2.805667848095997e-10,2.7381746353294075e-12,6.255174952914391e-12
India,Pakistan,12,2.7999714244066505e-10,3.432809157143505e-12,5.852915806574957e-11
Belgium,UK,12,2.7852577614006387e-10,5.69788909980438e-12,2.638492408190716e-12
Japan,Spain,16,2.7831136253175077e-10,4.400755700543283e-12,6.605143878287856e-12
Argentina,Canada,8,2.7830734219605025e-10,2.2431066655364632e-11,2.7381746353294075e-12
Australia,Japan,16,2.768930598157768e-10,9.64975311336542e-12,4.400755700543283e-12
Germany,Saudi Arabia,16,2.7130327566062614e-10,2.1367493326748263e-12,1.1795550089410234e-11
India,Israel,12,2.694772491108633e-10,3.432809157143505e-12,2.039098515519651e-11
Argentina,India,12,2.6397106099895525e-10,3.364659998304694e-11,3.432809157143505e-12
Belgium,India,12,2.621661277456383e-10,5.69788909980438e-12,3.432809157143505e-12
Canada,Italy,12,2.6007645760676263e-10,4.1072619529941114e-12,4.0025985896414554e-12
Japan,Sweden,12,2.588254846290945e-10,3.3005667754074625e-12,9.382762429371587e-12
Argentina,Japan,12,2.575396053477519e-10,3.364659998304694e-11,3.3005667754074625e-12
Afghanistan,France,8,2.5163315357192016e-10,3.450572174614026e-10,1.8817831010494893e-12
Germany,Spain,16,2.5067858240935786e-10,2.1367493326748263e-12,6.605143878287856e-12
