country,year,disaster_type,num_disasters,total_deaths,total_affected,total_homeless,total_damage_adjusted_usd,avg_magnitude
Belgium,2002,Flood,3,0.0,2400.0,0.0,0.0,
Belgium,2002,Storm,1,5.0,0.0,0.0,8720000.0,140.0
Belgium,2003,Extreme temperature,1,1175.0,0.0,0.0,0.0,
Belgium,2003,Flood,1,0.0,0.0,0.0,0.0,
Belgium,2005,Extreme temperature,2,2.0,0.0,0.0,0.0,
Belgium,2005,Flood,1,0.0,210.0,0.0,0.0,
Belgium,2006,Extreme temperature,1,940.0,0.0,0.0,0.0,
Belgium,2007,Storm,1,2.0,0.0,0.0,680806000.0,130.0
Belgium,2008,Storm,1,0.0,0.0,0.0,0.0,
Belgium,2009,Extreme temperature,1,1.0,0.0,0.0,0.0,-20.0
Belgium,2010,Flood,1,4.0,690.0,0.0,342591000.0,
Belgium,2010,Storm,2,1.0,0.0,0.0,230172000.0,
Belgium,2011,Storm,1,5.0,0.0,0.0,138060000.0,
Belgium,2012,Extreme temperature,1,3.0,0.0,0.0,0.0,
Belgium,2013,Storm,2,0.0,0.0,0.0,0.0,
Belgium,2014,Storm,1,0.0,0.0,0.0,0.0,
Belgium,2015,Extreme temperature,1,410.0,0.0,0.0,0.0,
Belgium,2016,Flood,1,3.0,0.0,0.0,0.0,
Belgium,2016,Storm,1,1.0,0.0,0.0,0.0,
Belgium,2018,Extreme temperature,1,0.0,0.0,0.0,0.0,
Belgium,2018,Storm,1,1.0,0.0,0.0,0.0,130.0
Belgium,2019,Extreme temperature,3,716.0,0.0,0.0,0.0,36.86666666666667
Belgium,2020,Extreme temperature,1,1687.0,0.0,0.0,0.0,
Belgium,2020,Storm,1,0.0,0.0,0.0,0.0,
Belgium,2021,Flood,1,39.0,1950.0,100000.0,2315306000.0,
Belgium,2021,Storm,2,0.0,0.0,0.0,0.0,
Belgium,2022,Extreme temperature,1,434.0,0.0,0.0,0.0,40.0
Belgium,2022,Storm,1,2.0,0.0,0.0,0.0,
Belgium,2023,Extreme temperature,1,324.0,0.0,0.0,0.0,
Belgium,2023,Flood,1,0.0,3000.0,0.0,0.0,50.0
Belgium,2023,Storm,1,2.0,0.0,0.0,0.0,
Canada,2000,Storm,1,11.0,0.0,700.0,23682000.0,300.0
Canada,2001,Epidemic,1,1.0,399.0,0.0,0.0,
Canada,2001,Storm,1,11.0,0.0,30.0,0.0,120.0
Canada,2001,Wildfire,1,0.0,1200.0,0.0,0.0,
Canada,2002,Epidemic,1,2.0,139.0,0.0,0.0,
Canada,2002,Flood,1,0.0,0.0,0.0,0.0,5530.0
Canada,2002,Wildfire,1,0.0,600.0,0.0,0.0,2670.0
Canada,2003,Flood,4,4.0,2470.0,0.0,59682000.0,5506.666666666667
Canada,2003,Storm,2,2.0,200.0,0.0,187574000.0,143.0
Canada,2003,Wildfire,1,1.0,0.0,0.0,929343000.0,2500.0
Canada,2004,Flood,2,0.0,1000.0,0.0,332151000.0,
Canada,2004,Storm,2,0.0,0.0,0.0,166075000.0,120.0
Canada,2005,Flood,2,4.0,5600.0,0.0,573434000.0,43505.0
Canada,2005,Storm,1,0.0,300.0,0.0,0.0,
